name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Athens,GR",2022-01-01,17.7,5.6,11.7,17.7,5.6,11.6,5.9,68.1,0,0,0,,0,0,20.3,13,349.2,1019.8,24.9,10,81.8,7,5,,2022-01-01T07:41:10,2022-01-01T17:16:11,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-02,17.7,8.3,12.8,17.7,8.3,12.7,6.7,67.7,0,0,0,,0,0,31.1,19.9,359.7,1023.5,22.7,10,89.8,7.7,5,,2022-01-02T07:41:18,2022-01-02T17:17:00,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-03,17.7,5.7,11.7,17.7,4.8,11.5,7.2,75.2,0,0,0,,0,0,25.6,14.8,241.3,1019.6,22.4,10,90.1,7.7,5,,2022-01-03T07:41:24,2022-01-03T17:17:50,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-04,17.6,6.3,12,17.6,6.3,12,7.3,74.2,0,0,0,,0,0,25.9,14.1,217.3,1016.3,17.4,10,100.6,8.7,5,,2022-01-04T07:41:28,2022-01-04T17:18:41,0.02,Clear,Clear conditions throughout the day.,clear-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-05,17.7,9,12.9,17.7,9,12.9,8.3,74.2,0,0,0,,0,0,31.1,19.2,215.8,1014,19.6,10,90.4,7.8,5,,2022-01-05T07:41:30,2022-01-05T17:19:34,0.05,Clear,Clear conditions throughout the day.,clear-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-06,17.8,7.7,12.9,17.8,7.6,12.8,10.1,84.1,0,0,0,,0,0,37.9,29.9,184.3,1014.4,37.1,10,89.6,7.9,5,,2022-01-06T07:41:30,2022-01-06T17:20:27,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-07,17.9,11,13.8,17.9,11,13.8,10.6,82.1,0,0,0,,0,0,20.6,15,150.7,1014.8,45.7,10,85.7,7.3,5,,2022-01-07T07:41:28,2022-01-07T17:21:22,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,F5422,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-08,15,9.3,11.2,15,9,11.2,9,86.4,11.62,100,12.5,rain,0,0,45.6,14.8,66.9,1011.4,62.6,9.7,59.2,5.1,4,,2022-01-08T07:41:24,2022-01-08T17:22:18,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16716199999,E4115,F6908,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-09,13.3,8.5,10.3,13.3,6.9,9.8,8.4,88.5,15.48,100,8.33,rain,0,0,32.4,18.7,350.5,1003.4,70.7,9.4,53.5,4.6,4,,2022-01-09T07:41:17,2022-01-09T17:23:15,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-10,13.7,6,10,13.7,6,10,7.4,84,1.204,100,8.33,rain,0,0,21.7,13,112.8,998.2,58.9,9.7,43.6,3.8,2,10,2022-01-10T07:41:09,2022-01-10T17:24:13,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16716199999,E4115,LGAV,16741099999,F5422,16718099999,16716099999,16715099999"
